mOTU,taxo,motupan_w_ppan,motupan_w_roary,ppanggolin_persist,ppanggolin_shell,roary_core,roary_shell,nb_genomes,mean_completeness_ppan,mean_completeness_roary,mean_est_ppan_cogs,mean_est_roary_cogs,mean_scaff_count,type,genoms_ids
s__Legionella pneumophila,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella pneumophila,2526,2237,2543,1206,2114,2203,50,99.47889944576406,99.30602235136341,3080.3637864768575,3109.544553176346,49.63119266055046,gtdb,RS_GCF_900058585.1;RS_GCF_900064735.1;RS_GCF_900051695.1;RS_GCF_900054645.1;RS_GCF_900062695.1;RS_GCF_000823585.1;RS_GCF_001753125.1;RS_GCF_900057565.1;RS_GCF_001583655.1;RS_GCF_000586155.1;RS_GCF_003205135.1;RS_GCF_001582145.1;RS_GCF_000586075.1;RS_GCF_000823405.1;RS_GCF_900056645.1;RS_GCF_900052085.1;RS_GCF_900061575.1;RS_GCF_900057605.1;RS_GCF_001753265.1;RS_GCF_001752765.1;RS_GCF_001600895.1;RS_GCF_900065315.1;RS_GCF_900061625.1;RS_GCF_900058855.1;RS_GCF_900060785.1;RS_GCF_000823305.1;RS_GCF_900062465.1;RS_GCF_001752925.1;RS_GCF_900073035.1;RS_GCF_000823325.1;RS_GCF_900062335.1;RS_GCF_900057785.1;RS_GCF_000823365.1;RS_GCF_900054685.1;RS_GCF_003004275.1;RS_GCF_001601235.1;RS_GCF_900058345.1;RS_GCF_900060205.1;RS_GCF_001601165.1;RS_GCF_001969405.1;RS_GCF_900049295.1;RS_GCF_001610735.1;RS_GCF_900055205.1;RS_GCF_900061635.1;RS_GCF_900060725.1;RS_GCF_900062535.1;RS_GCF_001582395.1;RS_GCF_900186855.1;RS_GCF_001601085.1;RS_GCF_900053695.1
s__Erwinia amylovora,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Erwinia;s__Erwinia amylovora,3295,3232,3311,163,2802,858,35,99.3058833730761,98.86334512022631,3470.822681608399,3514.2182924608364,38.857142857142854,gtdb,GB_GCA_000367685.2;GB_GCA_002732135.1;RS_GCF_000027205.1;RS_GCF_000091565.1;RS_GCF_000240705.2;RS_GCF_000367545.1;RS_GCF_000367565.1;RS_GCF_000367585.1;RS_GCF_000367605.1;RS_GCF_000367625.1;RS_GCF_000367645.1;RS_GCF_000367665.1;RS_GCF_000513355.1;RS_GCF_000513395.1;RS_GCF_000513415.1;RS_GCF_000696075.1;RS_GCF_002732125.1;RS_GCF_002732175.1;RS_GCF_002732205.1;RS_GCF_002732215.1;RS_GCF_002732245.1;RS_GCF_002732255.1;RS_GCF_002732285.1;RS_GCF_002732295.1;RS_GCF_002732315.1;RS_GCF_002732335.1;RS_GCF_002732365.1;RS_GCF_002732385.1;RS_GCF_002732405.1;RS_GCF_002732425.1;RS_GCF_002732435.1;RS_GCF_002732445.1;RS_GCF_002732485.1;RS_GCF_002732505.1;RS_GCF_002803865.1
s__Burkholderia cenocepacia,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia cenocepacia,5750,5393,5764,3492,4687,5295,50,98.30295652173915,98.08448766920081,7188.631464787634,7445.998405016722,158.82327586206895,gtdb,RS_GCF_001994615.1;RS_GCF_001984315.1;RS_GCF_001056375.1;RS_GCF_001994255.1;RS_GCF_001991215.1;RS_GCF_000333155.2;RS_GCF_001056655.1;RS_GCF_001991535.1;RS_GCF_000236215.2;RS_GCF_001992925.1;RS_GCF_001056705.1;RS_GCF_001994795.1;RS_GCF_000981305.1;RS_GCF_001993765.1;RS_GCF_001991415.1;RS_GCF_001992285.1;RS_GCF_001994505.1;RS_GCF_001994025.1;RS_GCF_001994395.1;RS_GCF_001991555.1;RS_GCF_003253915.1;RS_GCF_001057175.1;RS_GCF_001994195.1;RS_GCF_001991325.1;RS_GCF_001994855.1;RS_GCF_001992165.1;RS_GCF_001993895.1;RS_GCF_001992785.1;RS_GCF_001984325.1;RS_GCF_001992855.1;RS_GCF_001993335.1;RS_GCF_001991455.1;RS_GCF_001992815.1;RS_GCF_001991915.1;RS_GCF_001994165.1;RS_GCF_001992395.1;RS_GCF_001993685.1;RS_GCF_001992955.1;RS_GCF_001994205.1;RS_GCF_001992875.1;RS_GCF_001991565.1;RS_GCF_001992135.1;RS_GCF_001993635.1;RS_GCF_001720525.1;RS_GCF_000333135.2;RS_GCF_001991435.1;RS_GCF_001994215.1;RS_GCF_001991315.1;RS_GCF_001992315.1;RS_GCF_001994655.1
s__Bacillus pumilus,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus,3263,2908,3299,491,2668,1658,37,99.09869379032726,98.79330458381352,3727.5373664732624,3743.74978918326,21.35135135135135,gtdb,GB_GCA_001468935.1;GB_GCA_003512935.1;RS_GCF_000017885.4;RS_GCF_000172815.1;RS_GCF_000691485.2;RS_GCF_000714495.2;RS_GCF_000828345.1;RS_GCF_001183525.1;RS_GCF_001444515.1;RS_GCF_001578205.1;RS_GCF_001675655.1;RS_GCF_001704975.1;RS_GCF_002174275.1;RS_GCF_002271405.1;RS_GCF_002998085.1;RS_GCF_002998165.1;RS_GCF_002998335.1;RS_GCF_002998365.1;RS_GCF_002998415.1;RS_GCF_002998455.1;RS_GCF_002998465.1;RS_GCF_002998475.1;RS_GCF_002998555.1;RS_GCF_002998575.1;RS_GCF_002998605.1;RS_GCF_002998615.1;RS_GCF_002998655.1;RS_GCF_002998675.1;RS_GCF_002998705.1;RS_GCF_002998735.1;RS_GCF_002998775.1;RS_GCF_003004355.1;RS_GCF_003004375.1;RS_GCF_003020795.1;RS_GCF_003034105.1;RS_GCF_003265785.1;RS_GCF_900186955.1
s__Serratia marcescens_I,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia marcescens_I,3928,3691,3937,637,3534,2161,50,99.0811079429735,99.07626821999457,4827.897903865105,4864.49655847966,72.83136094674556,gtdb,RS_GCF_001540085.1;RS_GCF_003186475.1;RS_GCF_001062285.1;RS_GCF_001294565.1;RS_GCF_001537625.1;RS_GCF_001539005.1;RS_GCF_001539925.1;RS_GCF_001539505.1;RS_GCF_002920115.1;RS_GCF_003204405.1;RS_GCF_001539805.1;RS_GCF_001536525.1;GB_GCA_900456855.1;RS_GCF_001540065.1;RS_GCF_001539425.1;RS_GCF_001061195.1;RS_GCF_001537405.1;RS_GCF_001540245.1;RS_GCF_001540105.1;RS_GCF_001536725.1;RS_GCF_001536565.1;RS_GCF_003204935.1;RS_GCF_001537685.1;GB_GCA_001066285.1;RS_GCF_001540125.1;RS_GCF_001538365.1;RS_GCF_001537445.1;RS_GCF_003204985.1;RS_GCF_001537745.1;RS_GCF_001030265.1;RS_GCF_001065845.1;RS_GCF_001536325.1;RS_GCF_001317425.2;RS_GCF_001564475.1;RS_GCF_002886905.1;RS_GCF_001540665.1;RS_GCF_001539245.1;RS_GCF_000418875.1;RS_GCF_001536445.1;RS_GCF_002104095.1;RS_GCF_000418855.2;GB_GCA_001316505.2;RS_GCF_001537245.1;RS_GCF_001536985.1;RS_GCF_001540745.1;RS_GCF_002947235.1;RS_GCF_001538965.1;RS_GCF_001538465.1;RS_GCF_001536625.1;RS_GCF_001540225.1
s__Enterococcus_D casseliflavus,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D casseliflavus,2483,2228,2632,664,1035,3235,32,96.08662026782119,92.72966786355477,3377.8141096040986,3346.543122241229,72.71875,gtdb,GB_GCA_002307895.1;GB_GCA_002333215.1;GB_GCA_002338165.1;GB_GCA_002358235.1;GB_GCA_002359455.1;GB_GCA_002365695.1;GB_GCA_002388095.1;GB_GCA_002389105.1;GB_GCA_002389865.1;GB_GCA_002391965.1;GB_GCA_002453485.1;GB_GCA_002455195.1;GB_GCA_002455545.1;GB_GCA_002501415.1;GB_GCA_003448895.1;RS_GCF_000157215.1;RS_GCF_000157295.1;RS_GCF_000157355.2;RS_GCF_000273565.1;RS_GCF_000393915.1;RS_GCF_000407405.1;RS_GCF_000414945.1;RS_GCF_001544095.1;RS_GCF_001885845.1;RS_GCF_002077515.1;RS_GCF_002140615.1;RS_GCF_002140635.1;RS_GCF_002140755.1;RS_GCF_002174385.1;RS_GCF_002393265.1;RS_GCF_900101195.1;RS_GCF_900112655.1
s__Helicobacter_E felis,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter_E;s__Helicobacter_E felis,1329,1243,1364,258,1216,723,22,99.62611669744852,99.53291523440357,1581.998726095403,1600.2838620227246,61.04545454545455,gtdb,RS_GCF_000200595.1;RS_GCF_900196765.1;RS_GCF_900196785.1;RS_GCF_900196805.1;RS_GCF_900196815.1;RS_GCF_900196845.1;RS_GCF_900196855.1;RS_GCF_900196875.1;RS_GCF_900196895.1;RS_GCF_900196905.1;RS_GCF_900196925.1;RS_GCF_900196955.1;RS_GCF_900196965.1;RS_GCF_900196995.1;RS_GCF_900197005.1;RS_GCF_900197015.1;RS_GCF_900197025.1;RS_GCF_900197035.1;RS_GCF_900197045.1;RS_GCF_900197065.1;RS_GCF_900197085.1;RS_GCF_900198515.1
s__Bacillus_C megaterium,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae_H;g__Bacillus_C;s__Bacillus_C megaterium,4354,4093,4468,1518,3810,3057,50,98.81481763895268,98.45335499633522,5705.429254947975,5881.99754735339,80.35955056179775,gtdb,RS_GCF_001029885.1;GB_GCA_002872495.3;RS_GCF_002009195.1;RS_GCF_002575285.1;RS_GCF_002571125.1;RS_GCF_002575735.1;RS_GCF_001238505.1;GB_GCA_900113355.1;RS_GCF_002577555.1;GB_GCA_003171735.1;RS_GCF_002566025.1;RS_GCF_001429365.1;RS_GCF_000500145.1;RS_GCF_000832985.1;RS_GCF_002576935.1;RS_GCF_002550995.1;RS_GCF_002558805.1;RS_GCF_001640745.1;RS_GCF_002566435.1;RS_GCF_002566285.1;RS_GCF_002565335.1;RS_GCF_002566035.1;RS_GCF_002566965.1;RS_GCF_002561515.1;RS_GCF_001429385.1;RS_GCF_002583135.1;RS_GCF_002560705.1;RS_GCF_002562195.1;RS_GCF_001426025.1;RS_GCF_002566345.1;RS_GCF_002586045.1;RS_GCF_002557935.1;RS_GCF_002552135.1;RS_GCF_000746935.1;RS_GCF_002552565.1;RS_GCF_000025805.1;RS_GCF_002871835.1;RS_GCF_001275665.1;RS_GCF_002566985.1;RS_GCF_001591525.1;RS_GCF_002552955.1;RS_GCF_000764085.1;RS_GCF_002585805.1;RS_GCF_002560595.1;RS_GCF_002576505.1;RS_GCF_002570645.1;RS_GCF_002565535.1;RS_GCF_000527015.1;RS_GCF_000514175.1;RS_GCF_003047225.1
s__Leptospira santarosai,d__Bacteria;p__Spirochaetota;c__Leptospirae;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira santarosai,2809,2680,2857,956,2603,1747,41,99.63718188054077,99.38689479432108,3536.464917122938,3616.135430509927,121.17073170731707,gtdb,GB_GCA_000306615.2;RS_GCF_000216275.1;RS_GCF_000217455.2;RS_GCF_000243835.1;RS_GCF_000244475.1;RS_GCF_000244555.1;RS_GCF_000244575.1;RS_GCF_000244615.1;RS_GCF_000244655.1;RS_GCF_000244675.1;RS_GCF_000244735.1;RS_GCF_000244795.1;RS_GCF_000246375.1;RS_GCF_000246395.1;RS_GCF_000306435.1;RS_GCF_000306455.1;RS_GCF_000306475.1;RS_GCF_000306575.1;RS_GCF_000313175.2;RS_GCF_000332395.2;RS_GCF_000332435.1;RS_GCF_000343395.1;RS_GCF_000346675.1;RS_GCF_000346915.1;RS_GCF_000348015.1;RS_GCF_000988105.2;RS_GCF_001008325.2;RS_GCF_001008335.2;RS_GCF_001568365.1;RS_GCF_001568375.1;RS_GCF_001569265.1;RS_GCF_001569285.1;RS_GCF_001569295.1;RS_GCF_001569305.1;RS_GCF_001569335.1;RS_GCF_001584305.1;RS_GCF_001952675.1;RS_GCF_001952685.1;RS_GCF_001981425.1;RS_GCF_001981455.1;RS_GCF_001981505.1
s__Ralstonia pseudosolanacearum,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia pseudosolanacearum,4157,3997,4260,751,3260,2457,30,98.58087964076658,97.9759894921191,4958.863880308916,5105.978380889227,119.63333333333334,gtdb,GB_GCA_001267515.1;RS_GCF_000009125.1;RS_GCF_000223115.1;RS_GCF_000348545.1;RS_GCF_000427195.1;RS_GCF_000430925.2;RS_GCF_000671315.1;RS_GCF_000671335.1;RS_GCF_001484095.1;RS_GCF_001644855.1;RS_GCF_001644865.1;RS_GCF_001645725.1;RS_GCF_001663415.1;RS_GCF_001708525.1;RS_GCF_001854265.1;RS_GCF_001855495.1;RS_GCF_001870805.1;RS_GCF_001870825.1;RS_GCF_001876975.1;RS_GCF_001876985.1;RS_GCF_001879565.1;RS_GCF_001887535.1;RS_GCF_001891105.1;RS_GCF_002155245.1;RS_GCF_002162015.1;RS_GCF_002220465.1;RS_GCF_002894285.1;RS_GCF_003256405.1;RS_GCF_003256425.1;RS_GCF_003256445.1
s__Staphylococcus xylosus,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus,2305,2230,2339,256,2139,670,24,99.35206073752711,99.20145739910315,2600.787671806289,2617.772191214926,117.08333333333333,gtdb,RS_GCF_000467225.1;RS_GCF_000706685.1;RS_GCF_000709415.1;RS_GCF_000953575.1;RS_GCF_001476985.1;RS_GCF_001747725.1;RS_GCF_001747735.1;RS_GCF_001747745.1;RS_GCF_001748025.1;RS_GCF_002078255.1;RS_GCF_002732165.1;RS_GCF_002836825.1;RS_GCF_002901985.1;RS_GCF_003041255.1;RS_GCF_003041265.1;RS_GCF_003041275.1;RS_GCF_003041315.1;RS_GCF_003041485.1;RS_GCF_003041515.1;RS_GCF_003041555.1;RS_GCF_003042795.1;RS_GCF_003043145.1;RS_GCF_900098615.1;RS_GCF_900240095.1
s__Escherichia coli,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,3659,3518,3767,1728,3276,2838,50,99.26963487291609,98.83959977259809,4726.005095988937,4835.573794246044,124.53959222380276,gtdb,RS_GCF_000460775.1;RS_GCF_000460655.1;RS_GCF_002573015.1;RS_GCF_002226425.1;RS_GCF_002461255.1;RS_GCF_000458575.1;RS_GCF_001030505.1;RS_GCF_000507625.1;RS_GCF_900166795.1;RS_GCF_002080685.1;RS_GCF_001520035.1;RS_GCF_000781995.1;RS_GCF_000807655.1;RS_GCF_001056875.1;RS_GCF_002886825.1;RS_GCF_001265675.1;RS_GCF_001638025.1;RS_GCF_002464145.1;RS_GCF_002522445.1;RS_GCF_002244545.1;RS_GCF_002763515.2;RS_GCF_002284815.1;RS_GCF_000782195.1;RS_GCF_000781835.1;RS_GCF_002510815.1;RS_GCF_002973035.1;RS_GCF_002001545.1;RS_GCF_001519645.1;RS_GCF_000461555.1;RS_GCF_002465475.1;RS_GCF_002535085.1;RS_GCF_000194475.2;RS_GCF_002810085.1;RS_GCF_001265155.1;RS_GCF_002075165.1;RS_GCF_002459475.1;RS_GCF_000159295.1;RS_GCF_000457045.1;RS_GCF_000460875.1;RS_GCF_001607045.1;RS_GCF_002544635.1;RS_GCF_000188875.1;RS_GCF_000812365.1;RS_GCF_002229615.1;RS_GCF_002465645.1;RS_GCF_002522735.1;RS_GCF_002285755.1;RS_GCF_001520755.1;RS_GCF_001059575.1;RS_GCF_000599745.2
s__Alteromonas macleodii,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas macleodii,3250,3071,3521,1191,383,4483,37,87.54615384615386,86.36736427081591,4149.566848762945,4119.152070108297,212.8108108108108,gtdb,GB_GCA_002271865.1;GB_GCA_002291655.1;GB_GCA_002313715.1;GB_GCA_002320795.1;GB_GCA_002323435.1;GB_GCA_002339095.1;GB_GCA_002377105.1;GB_GCA_002380205.1;GB_GCA_002433325.1;GB_GCA_002500615.1;GB_GCA_002693575.1;GB_GCA_002694225.1;GB_GCA_002705105.1;GB_GCA_002728805.1;GB_GCA_003445365.1;GB_GCA_003451095.1;GB_GCA_003453115.1;GB_GCA_003487705.1;GB_GCA_003489025.1;GB_GCA_003525145.1;GB_GCA_003538845.1;GB_GCA_003545575.1;RS_GCF_000172635.2;RS_GCF_000299955.1;RS_GCF_000300175.1;RS_GCF_000808595.1;RS_GCF_000808635.1;RS_GCF_001077695.1;RS_GCF_001562235.1;RS_GCF_001578515.1;RS_GCF_001750295.1;RS_GCF_001750305.1;RS_GCF_001750315.1;RS_GCF_001750365.1;RS_GCF_001924945.1;RS_GCF_002849875.1;RS_GCF_003201515.1
s__Enterococcus_E cecorum,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_E;s__Enterococcus_E cecorum,1691,1599,1793,539,1499,1256,21,99.2691616682155,98.94758331099796,2229.6606984562086,2275.695760056959,28.476190476190474,gtdb,GB_GCA_001318175.1;GB_GCA_001318225.1;GB_GCA_001318265.1;GB_GCA_001318325.1;GB_GCA_001318365.1;RS_GCF_000379745.1;RS_GCF_000407565.1;RS_GCF_000492155.1;RS_GCF_001020435.1;RS_GCF_001020445.1;RS_GCF_001021675.1;RS_GCF_001021745.1;RS_GCF_001021755.1;RS_GCF_001021795.1;RS_GCF_001021815.1;RS_GCF_001318405.1;RS_GCF_001885885.1;RS_GCF_002160685.1;RS_GCF_002161395.1;RS_GCF_002174365.1;RS_GCF_900474605.1
s__Streptococcus equi,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus equi,1911,1903,1908,100,1455,723,50,97.48920669806384,97.10342616920649,2049.2871721351094,2074.0988638796116,77.69411764705882,gtdb,RS_GCF_000876355.1;RS_GCF_001178865.1;RS_GCF_001177485.1;RS_GCF_001178925.1;RS_GCF_001176865.1;RS_GCF_001175585.1;RS_GCF_001177845.1;RS_GCF_001177445.1;RS_GCF_000020765.1;RS_GCF_001177665.1;RS_GCF_000876295.1;RS_GCF_001177085.1;RS_GCF_001177025.1;RS_GCF_001179285.1;RS_GCF_001179045.1;RS_GCF_000219765.1;RS_GCF_001175345.1;GB_GCA_000876215.1;RS_GCF_001177725.1;RS_GCF_001176665.1;RS_GCF_000208725.1;RS_GCF_001178745.1;RS_GCF_001176205.1;RS_GCF_001177565.1;RS_GCF_001177145.1;RS_GCF_001177705.1;RS_GCF_001179365.1;RS_GCF_001178525.1;RS_GCF_900004825.1;RS_GCF_001177165.1;RS_GCF_001175985.1;RS_GCF_001175145.1;RS_GCF_001176645.1;RS_GCF_001177885.1;RS_GCF_001175385.1;RS_GCF_001178945.1;RS_GCF_001175065.1;RS_GCF_001175245.1;RS_GCF_001645305.1;RS_GCF_001175705.1;RS_GCF_001176825.1;RS_GCF_001178405.1;RS_GCF_001179345.1;RS_GCF_001175465.1;RS_GCF_001176285.1;RS_GCF_001177605.1;RS_GCF_001176445.1;RS_GCF_001178385.1;RS_GCF_001177125.1;RS_GCF_001177045.1
s__Xanthomonas phaseoli,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas phaseoli,3563,3378,3589,548,3048,1905,50,99.09075329778275,98.63496980461812,4203.436019239983,4244.71645395484,222.9318181818182,gtdb,RS_GCF_000266845.1;RS_GCF_000266465.1;RS_GCF_000265785.1;RS_GCF_000266705.1;RS_GCF_000266545.1;RS_GCF_000266325.1;RS_GCF_900234425.1;RS_GCF_000774035.1;RS_GCF_000266645.1;RS_GCF_000266685.1;RS_GCF_000265625.1;RS_GCF_001401535.2;RS_GCF_002759115.1;RS_GCF_900234445.1;RS_GCF_000265805.1;RS_GCF_000266405.1;RS_GCF_000266745.1;RS_GCF_000266025.1;RS_GCF_000265585.1;RS_GCF_002759095.1;RS_GCF_000266165.1;RS_GCF_000266585.1;RS_GCF_000266345.1;RS_GCF_000266265.1;RS_GCF_000266285.1;RS_GCF_000266505.1;RS_GCF_000265845.1;RS_GCF_000266725.1;RS_GCF_000266125.1;RS_GCF_001402235.1;RS_GCF_000266765.1;RS_GCF_002759155.1;GB_GCA_001412025.2;RS_GCF_000266245.1;RS_GCF_000266365.1;RS_GCF_000265645.1;RS_GCF_000808675.2;RS_GCF_000266785.1;RS_GCF_002940645.1;RS_GCF_000808715.2;RS_GCF_000827975.2;RS_GCF_000265865.1;RS_GCF_000265565.1;RS_GCF_000265685.1;RS_GCF_000266485.1;RS_GCF_000266825.1;RS_GCF_000265985.1;RS_GCF_000266065.1;RS_GCF_000265885.1;RS_GCF_000266205.1
s__Escherichia coli_C,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli_C,3803,3558,3870,1506,3213,3173,38,99.4285342596565,98.97471080737257,4873.576800514601,5023.611683535275,152.73684210526315,gtdb,GB_GCA_001038025.1;RS_GCF_000190955.1;RS_GCF_000190995.1;RS_GCF_000194175.1;RS_GCF_000194575.1;RS_GCF_000208485.1;RS_GCF_000208545.1;RS_GCF_000687125.1;RS_GCF_000703725.1;RS_GCF_000812765.1;RS_GCF_001264195.1;RS_GCF_001650555.1;RS_GCF_001910995.1;RS_GCF_001911065.1;RS_GCF_001911145.1;RS_GCF_001911405.1;RS_GCF_001912235.1;RS_GCF_001912385.1;RS_GCF_001912525.1;RS_GCF_001912565.1;RS_GCF_002133425.1;RS_GCF_002133995.1;RS_GCF_002134215.1;RS_GCF_002207125.1;RS_GCF_002531355.1;RS_GCF_002810695.1;RS_GCF_002901325.1;RS_GCF_002965045.1;RS_GCF_002965245.1;RS_GCF_002965285.1;RS_GCF_002965495.1;RS_GCF_002965565.1;RS_GCF_002965585.1;RS_GCF_002965595.1;RS_GCF_002965625.1;RS_GCF_002966045.1;RS_GCF_002966065.1;RS_GCF_003018295.1
s__Xanthomonas oryzae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas;s__Xanthomonas oryzae,2885,2812,2930,856,2634,1914,50,99.47329636048528,99.00355618776673,3854.620825641338,3994.5291775277337,331.3666666666667,gtdb,RS_GCF_001928495.1;RS_GCF_001927335.1;RS_GCF_001928355.1;RS_GCF_002850095.1;RS_GCF_001928945.1;RS_GCF_001927465.1;RS_GCF_001746595.1;RS_GCF_001928775.1;RS_GCF_001277045.1;RS_GCF_001928935.1;RS_GCF_001928765.1;RS_GCF_001927925.1;RS_GCF_001928035.1;RS_GCF_001927305.1;RS_GCF_001042835.1;RS_GCF_001928985.1;RS_GCF_001927945.1;RS_GCF_001042795.1;GB_GCA_000007385.1;RS_GCF_002850195.1;RS_GCF_001927855.1;RS_GCF_001928525.1;RS_GCF_001929155.1;RS_GCF_002023005.1;RS_GCF_001042745.1;RS_GCF_001928185.1;RS_GCF_001928855.1;RS_GCF_001927395.1;RS_GCF_001021915.1;RS_GCF_000948075.1;RS_GCF_001928255.1;RS_GCF_000482445.1;RS_GCF_001928215.1;RS_GCF_001928165.1;RS_GCF_003122405.1;RS_GCF_001277095.1;RS_GCF_002850075.1;RS_GCF_001928995.1;RS_GCF_001928135.1;RS_GCF_001042775.1;RS_GCF_003064145.1;RS_GCF_001928485.1;RS_GCF_001928665.1;RS_GCF_001929065.1;RS_GCF_001928095.1;RS_GCF_003031365.1;RS_GCF_001929225.1;RS_GCF_002895775.1;RS_GCF_001927625.1;RS_GCF_001928265.1
s__Treponema pallidum,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema;s__Treponema pallidum,958,953,958,26,947,64,50,99.74228392484342,99.65507869884574,981.6921642245767,988.0220870256719,1.0,gtdb,RS_GCF_001713255.1;RS_GCF_001655275.1;RS_GCF_001761565.1;RS_GCF_000246795.1;RS_GCF_001941545.1;RS_GCF_000246755.1;RS_GCF_000024485.1;RS_GCF_001712935.1;RS_GCF_001713095.1;RS_GCF_002271195.1;RS_GCF_001655555.1;RS_GCF_001713235.1;RS_GCF_003055985.1;RS_GCF_001655395.1;RS_GCF_002271235.1;RS_GCF_000410535.2;RS_GCF_001713295.1;RS_GCF_003076575.1;RS_GCF_000813285.1;RS_GCF_001712955.1;RS_GCF_001713055.1;RS_GCF_001712975.1;RS_GCF_000387485.1;RS_GCF_001713275.1;RS_GCF_001712995.1;RS_GCF_001712895.1;RS_GCF_001713135.1;RS_GCF_001713175.1;RS_GCF_001655515.1;RS_GCF_001655235.1;GB_GCA_000008605.1;RS_GCF_001712915.1;RS_GCF_001713335.1;RS_GCF_001713075.1;RS_GCF_001713115.1;RS_GCF_000217655.1;RS_GCF_001655315.1;RS_GCF_001713195.1;RS_GCF_000304295.1;RS_GCF_001655475.1;RS_GCF_000246815.1;RS_GCF_001761515.1;RS_GCF_000246775.1;RS_GCF_001713215.1;RS_GCF_000604125.1;RS_GCF_001713035.1;RS_GCF_001655435.1;RS_GCF_000410555.1;RS_GCF_001713315.1;RS_GCF_001655355.1
s__Mesorhizobium sp000502715,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium sp000502715,4847,4446,4975,1216,4004,3571,39,99.44295440478646,99.05302374938002,6228.921788260977,6306.231015323982,56.0,gtdb,RS_GCF_000502215.1;RS_GCF_000502235.1;RS_GCF_000502255.1;RS_GCF_000502275.1;RS_GCF_000502295.1;RS_GCF_000502315.1;RS_GCF_000502335.1;RS_GCF_000502355.1;RS_GCF_000502455.1;RS_GCF_000502475.1;RS_GCF_000502495.1;RS_GCF_000502515.1;RS_GCF_000502535.1;RS_GCF_000502555.1;RS_GCF_000502575.1;RS_GCF_000502595.1;RS_GCF_000502615.1;RS_GCF_000502635.1;RS_GCF_000502655.1;RS_GCF_000502675.1;RS_GCF_000502695.1;RS_GCF_000502715.1;RS_GCF_000502735.1;RS_GCF_000502755.1;RS_GCF_000502775.1;RS_GCF_000502795.1;RS_GCF_000502815.1;RS_GCF_000502855.1;RS_GCF_000502895.1;RS_GCF_000502975.1;RS_GCF_000502995.1;RS_GCF_000503015.1;RS_GCF_000503035.1;RS_GCF_000503075.1;RS_GCF_000503095.1;RS_GCF_000503115.1;RS_GCF_000503135.1;RS_GCF_000503155.1;RS_GCF_000688055.1
